king,y,m,d,max,min,avg,maxmax,minmin,date
경종,1720,04,15,3.0,3.0,3.0,10.0,1.0,1720-04-15
경종,1720,08,27,3.0,1.0,1.8,12.0,1.0,1720-08-27
경종,1720,12,28,3.0,2.0,2.3333333333333335,16.0,1.0,1720-12-28
경종,1720,04,16,3.0,1.0,1.6666666666666667,13.0,1.0,1720-04-16
경종,1720,08,26,2.0,1.0,1.3333333333333333,15.0,1.0,1720-08-26
경종,1720,04,17,3.0,1.0,2.0,14.0,1.0,1720-04-17
경종,1720,08,25,3.0,1.0,1.5,15.0,1.0,1720-08-25
경종,1720,04,18,3.0,2.0,2.5,16.0,1.0,1720-04-18
경종,1720,08,24,4.0,1.0,3.2,16.0,1.0,1720-08-24
경종,1720,04,19,1.0,1.0,1.0,16.0,1.0,1720-04-19
경종,1720,08,23,2.0,1.0,1.5,14.0,1.0,1720-08-23
경종,1720,04,12,3.0,1.0,2.25,13.0,1.0,1720-04-12
경종,1720,04,20,3.0,1.0,2.0,13.0,1.0,1720-04-20
경종,1720,08,31,1.0,1.0,1.0,14.0,1.0,1720-08-31
경종,1720,09,01,2.0,1.0,1.6,11.0,1.0,1720-09-01
경종,1720,09,10,4.0,1.0,1.8,14.0,1.0,1720-09-10
경종,1720,04,03,3.0,1.0,2.25,14.0,1.0,1720-04-03
경종,1720,09,09,2.0,1.0,1.3333333333333333,17.0,1.0,1720-09-09
경종,1720,04,04,2.0,1.0,1.5,15.0,1.0,1720-04-04
경종,1720,09,08,2.0,1.0,1.75,8.0,1.0,1720-09-08
경종,1720,04,05,3.0,1.0,2.0,14.0,1.0,1720-04-05
경종,1720,09,07,3.0,1.0,1.75,13.0,1.0,1720-09-07
경종,1720,04,06,3.0,1.0,2.0,20.0,1.0,1720-04-06
경종,1720,09,06,2.0,2.0,2.0,35.0,1.0,1720-09-06
경종,1720,04,07,2.0,1.0,1.6666666666666667,17.0,1.0,1720-04-07
경종,1720,09,05,4.0,1.0,2.25,11.0,1.0,1720-09-05
경종,1720,09,04,2.0,1.0,1.4,14.0,1.0,1720-09-04
경종,1720,04,08,2.0,2.0,2.0,35.0,1.0,1720-04-08
경종,1720,09,03,4.0,2.0,2.6,16.0,1.0,1720-09-03
경종,1720,04,09,3.0,2.0,2.6666666666666665,33.0,1.0,1720-04-09
경종,1720,09,02,3.0,2.0,2.3333333333333335,12.0,1.0,1720-09-02
경종,1720,04,10,2.0,2.0,2.0,22.0,1.0,1720-04-10
경종,1720,04,11,3.0,1.0,1.6666666666666667,35.0,1.0,1720-04-11
경종,1720,08,22,2.0,1.0,1.6,20.0,1.0,1720-08-22
경종,1720,04,21,3.0,1.0,1.6666666666666667,11.0,1.0,1720-04-21
경종,1720,08,21,8.0,1.0,3.0,20.0,1.0,1720-08-21
경종,1720,05,02,4.0,1.0,2.3333333333333335,22.0,1.0,1720-05-02
경종,1720,08,08,3.0,1.0,1.6,45.0,1.0,1720-08-08
경종,1720,05,03,2.0,1.0,1.3333333333333333,15.0,1.0,1720-05-03
경종,1720,08,07,3.0,1.0,1.8,35.0,1.0,1720-08-07
경종,1720,05,04,3.0,1.0,2.3333333333333335,19.0,1.0,1720-05-04
경종,1720,08,06,1.0,1.0,1.0,17.0,1.0,1720-08-06
경종,1720,05,05,3.0,1.0,2.25,17.0,1.0,1720-05-05
경종,1720,08,05,3.0,1.0,1.8,16.0,1.0,1720-08-05
경종,1720,05,06,4.0,1.0,2.5,12.0,1.0,1720-05-06
경종,1720,08,04,4.0,2.0,2.75,14.0,1.0,1720-08-04
경종,1720,05,07,3.0,1.0,2.25,12.0,1.0,1720-05-07
경종,1720,08,03,3.0,1.0,1.5,13.0,1.0,1720-08-03
경종,1720,12,24,3.0,1.0,2.0,15.0,1.0,1720-12-24
경종,1720,05,08,3.0,2.0,2.6666666666666665,12.0,1.0,1720-05-08
경종,1720,08,02,3.0,1.0,2.0,13.0,1.0,1720-08-02
경종,1720,05,09,4.0,1.0,2.5,13.0,1.0,1720-05-09
경종,1720,08,01,2.0,1.0,1.3333333333333333,13.0,1.0,1720-08-01
경종,1720,08,09,3.0,1.0,2.0,15.0,1.0,1720-08-09
경종,1720,08,10,2.0,1.0,1.75,14.0,1.0,1720-08-10
경종,1720,05,01,4.0,1.0,2.0,16.0,1.0,1720-05-01
경종,1720,08,11,5.0,1.0,2.5,15.0,1.0,1720-08-11
경종,1720,04,22,2.0,1.0,1.5,17.0,1.0,1720-04-22
경종,1720,08,20,3.0,2.0,2.5,11.0,1.0,1720-08-20
경종,1720,04,23,3.0,2.0,2.6666666666666665,13.0,1.0,1720-04-23
경종,1720,08,19,3.0,1.0,2.0,17.0,1.0,1720-08-19
경종,1720,04,24,2.0,1.0,1.6666666666666667,12.0,1.0,1720-04-24
경종,1720,08,18,4.0,2.0,3.0,13.0,1.0,1720-08-18
경종,1720,08,17,3.0,1.0,1.75,21.0,1.0,1720-08-17
경종,1720,04,25,3.0,1.0,2.0,12.0,1.0,1720-04-25
경종,1720,07,31,3.0,1.0,2.0,23.0,1.0,1720-07-31
경종,1720,08,16,2.0,1.0,1.5,14.0,1.0,1720-08-16
경종,1720,08,15,1.0,1.0,1.0,14.0,1.0,1720-08-15
경종,1720,04,27,3.0,1.0,2.0,18.0,1.0,1720-04-27
경종,1720,08,14,3.0,1.0,2.25,16.0,1.0,1720-08-14
경종,1720,04,28,4.0,1.0,2.0,13.0,1.0,1720-04-28
경종,1720,08,13,3.0,2.0,2.5,17.0,1.0,1720-08-13
경종,1720,04,29,4.0,1.0,2.0,15.0,1.0,1720-04-29
경종,1720,08,12,3.0,1.0,2.0,14.0,1.0,1720-08-12
경종,1720,04,30,2.0,1.0,1.3333333333333333,14.0,1.0,1720-04-30
경종,1720,04,26,2.0,1.0,1.25,15.0,1.0,1720-04-26
경종,1720,12,05,3.0,1.0,2.0,12.0,1.0,1720-12-05
경종,1720,06,19,3.0,1.0,2.25,16.0,1.0,1720-06-19
경종,1720,01,02,4.0,1.0,2.25,17.0,1.0,1720-01-02
경종,1720,12,07,7.0,1.0,3.6666666666666665,22.0,1.0,1720-12-07
경종,1720,12,14,2.0,2.0,2.0,19.0,1.0,1720-12-14
경종,1720,12,18,3.0,1.0,2.3333333333333335,13.0,1.0,1720-12-18
경종,1720,12,08,3.0,2.0,2.3333333333333335,13.0,1.0,1720-12-08
경종,1720,01,10,2.0,1.0,1.5,16.0,1.0,1720-01-10
경종,1720,01,03,2.0,1.0,1.25,11.0,1.0,1720-01-03
경종,1720,01,13,2.0,1.0,1.5,18.0,1.0,1720-01-13
경종,1720,01,05,5.0,1.0,2.25,11.0,1.0,1720-01-05
경종,1720,12,12,4.0,2.0,2.75,14.0,1.0,1720-12-12
경종,1720,01,11,3.0,1.0,1.6666666666666667,11.0,1.0,1720-01-11
경종,1720,01,06,4.0,1.0,1.75,31.0,1.0,1720-01-06
경종,1720,01,12,3.0,1.0,2.0,10.0,1.0,1720-01-12
경종,1720,12,15,3.0,1.0,1.5,15.0,1.0,1720-12-15
경종,1720,12,17,2.0,1.0,1.5,12.0,1.0,1720-12-17
경종,1720,01,09,3.0,3.0,3.0,12.0,1.0,1720-01-09
경종,1720,01,04,3.0,2.0,2.5,10.0,1.0,1720-01-04
경종,1720,01,07,4.0,1.0,2.25,14.0,1.0,1720-01-07
경종,1720,12,06,4.0,2.0,3.0,14.0,1.0,1720-12-06
경종,1720,01,08,4.0,1.0,2.25,13.0,1.0,1720-01-08
경종,1720,12,16,3.0,1.0,1.75,11.0,1.0,1720-12-16
경종,1720,12,19,3.0,1.0,2.3333333333333335,10.0,1.0,1720-12-19
경종,1720,12,13,3.0,2.0,2.3333333333333335,24.0,1.0,1720-12-13
경종,1720,12,10,4.0,1.0,2.0,11.0,1.0,1720-12-10
경종,1720,12,09,2.0,1.0,1.5,19.0,1.0,1720-12-09
